CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;;;;;;;;;;;
ABI;Arabia;Arabia;Arabia;Arabia;Arabia;;;;;;;;;
FCI;Francia;Francia;Francia;Francia;Francia;;;;;;;;;
ILK;Ilkhanate;Ilkhanate;Ilkhanate;Ilkhanate;Ilkhanate;;;;;;;;;
LAT;Latin Empire;Latin Empire;Latin Empire;Latin Empire;Latin Empire;;;;;;;;;
MXC;Mexica;Mexica;Mexica;Mexica;Mexica;;;;;;;;;
ROM;Roman Empire;Roman Empire;Roman Empire;Roman Empire;Roman Empire;;;;;;;;;
ABI_ADJ;Arabian;Arabian;Arabian;Arabian;Arabian;;;;;;;;;
FCI_ADJ;Frankish;Frankish;Frankish;Frankish;Frankish;;;;;;;;;
ILK_ADJ;Ilkhan;Ilkhan;Ilkhan;Ilkhan;Ilkhan;;;;;;;;;
LAT_ADJ;Latin;Latin;Latin;Latin;Latin;;;;;;;;;
MXC_ADJ;Mexican;Mexican;Mexican;Mexican;Mexican;;;;;;;;;
ROM_ADJ;Roman;Roman;Roman;Roman;Roman;;;;;;;;;
arabian_nation_title;Reform the Arabian Empire;Reform the Arabian Empire;Reform the Arabian Empire;Reform the Arabian Empire;Reform the Arabian Empire;;;;;;;;;
arabian_nation_desc;At long last, we control the full extent of the old Arabian Empire. To declare ourselves the ruler of it is a mere formality, all already recognise our glory and our position as the true Muslim Caliphate;At long last, we control the full extent of the old Arabian Empire. To declare ourselves the ruler of it is a mere formality, all already recognise our glory and our position as the true Muslim Caliphate;At long last, we control the full extent of the old Arabian Empire. To declare ourselves the ruler of it is a mere formality, all already recognise our glory and our position as the true Muslim Caliphate;At long last, we control the full extent of the old Arabian Empire. To declare ourselves the ruler of it is a mere formality, all already recognise our glory and our position as the true Muslim Caliphate;At long last, we control the full extent of the old Arabian Empire. To declare ourselves the ruler of it is a mere formality, all already recognise our glory and our position as the true Muslim Caliphate;;;;;;;;;
francia_nation_title;Reform the Frankish Empire;Reform the Frankish Empire;Reform the Frankish Empire;Reform the Frankish Empire;Reform the Frankish Empire;;;;;;;;;
francia_nation_desc;With Charlemagne's death, the great Frankish empire was split in 3 parts- east, middle and west. Although the east will remain under the so-called 'holy roman' empire until we can wrest it from him, we can declare the west and middle unified, and reform the Frankish Empire;With Charlemagne's death, the great Frankish empire was split in 3 parts- east, middle and west. Although the east will remain under the so-called 'holy roman' empire until we can wrest it from him, we can declare the west and middle unified, and reform the Frankish Empire;With Charlemagne's death, the great Frankish empire was split in 3 parts- east, middle and west. Although the east will remain under the so-called 'holy roman' empire until we can wrest it from him, we can declare the west and middle unified, and reform the Frankish Empire;With Charlemagne's death, the great Frankish empire was split in 3 parts- east, middle and west. Although the east will remain under the so-called 'holy roman' empire until we can wrest it from him, we can declare the west and middle unified, and reform the Frankish Empire;With Charlemagne's death, the great Frankish empire was split in 3 parts- east, middle and west. Although the east will remain under the so-called 'holy roman' empire until we can wrest it from him, we can declare the west and middle unified, and reform the Frankish Empire;;;;;;;;;
ilkhanate_nation_title;Declare  the new Il-khan;Declare the new Il-khan;Declare the new Il-khan;Declare the new Il-khan;Declare the new Il-khan;;;;;;;;;
ilkhanate_nation_desc;Although the old Il-Khanate fell to decadence and the invasion of Timur the Lame, we have reclaimed our old lands, and shall declare it reborn again;Although the old Il-Khanate fell to decadence and the invasion of Timur the Lame, we have reclaimed our old lands, and shall declare it reborn again;Although the old Il-Khanate fell to decadence and the invasion of Timur the Lame, we have reclaimed our old lands, and shall declare it reborn again;Although the old Il-Khanate fell to decadence and the invasion of Timur the Lame, we have reclaimed our old lands, and shall declare it reborn again;Although the old Il-Khanate fell to decadence and the invasion of Timur the Lame, we have reclaimed our old lands, and shall declare it reborn again;;;;;;;;;
latin_nation_title;Form the Latin Empire;Form the Latin Empire;Form the Latin Empire;Form the Latin Empire;Form the Latin Empire;;;;;;;;;
latin_nation_desc;The Greeks have continually proved themselves incapable of ruling the Eastern Roman Empire, and have nearly reduced it to nothing. With Constantinople under our control, we can declare ourselves the true succesors to the East, and begin our true Catholic rule;The Greeks have continually proved themselves incapable of ruling the Eastern Roman Empire, and have nearly reduced it to nothing. With Constantinople under our control, we can declare ourselves the true succesors to the East, and begin our true Catholic rule;The Greeks have continually proved themselves incapable of ruling the Eastern Roman Empire, and have nearly reduced it to nothing. With Constantinople under our control, we can declare ourselves the true succesors to the East, and begin our true Catholic rule;The Greeks have continually proved themselves incapable of ruling the Eastern Roman Empire, and have nearly reduced it to nothing. With Constantinople under our control, we can declare ourselves the true succesors to the East, and begin our true Catholic rule;The Greeks have continually proved themselves incapable of ruling the Eastern Roman Empire, and have nearly reduced it to nothing. With Constantinople under our control, we can declare ourselves the true succesors to the East, and begin our true Catholic rule;;;;;;;;;
roman_nation_title;Restore the Roman Empire;Restore the Roman Empire;Restore the Roman Empire;Restore the Roman Empire;Restore the Roman Empire;;;;;;;;;
roman_nation_desc;The Roman Empire fell in 476AD, and the world lost a great deal of knowledge and culture to the savage invading barbarians. Although the Germans may give themselves the title of "Holy Roman Emperor", following our conquests we can declare ourselves the true succesors of The Great Empire;The Roman Empire fell in 476AD, and the world lost a great deal of knowledge and culture to the savage invading barbarians. Although the Germans may give themselves the title of "Holy Roman Emperor", following our conquests we can declare ourselves the true succesors of The Great Empire;The Roman Empire fell in 476AD, and the world lost a great deal of knowledge and culture to the savage invading barbarians. Although the Germans may give themselves the title of "Holy Roman Emperor", following our conquests we can declare ourselves the true succesors of The Great Empire;The Roman Empire fell in 476AD, and the world lost a great deal of knowledge and culture to the savage invading barbarians. Although the Germans may give themselves the title of "Holy Roman Emperor", following our conquests we can declare ourselves the true succesors of The Great Empire;The Roman Empire fell in 476AD, and the world lost a great deal of knowledge and culture to the savage invading barbarians. Although the Germans may give themselves the title of "Holy Roman Emperor", following our conquests we can declare ourselves the true succesors of The Great Empire;;;;;;;;;
west_germanic;West Germanic;;;;;;;;;;;;;x;
alan;Alan;;;;;;;;;;;;;x;
anglosaxon;Anglo Saxon;;;;;;;;;;;;;x;
cuman;Cuman;;;;;;;;;;;;;x;
komi;Komi;;;;;;;;;;;;;x;
nahuatl;Nahuatl;;;;;;;;;;;;;x;
pecheneg;Pecheneg;;;;;;;;;;;;;x;
ugricbaltic;Ugric Baltic;;;;;;;;;;;;;x;
aztec;Aztec;;;;;;;;;;;;;x;
baltic_pagan;Romuva;;;;;;;;;;;;;x;
bektashi;Bektashi;;;;;;;;;;;;;x;
bogomilist;Bogomilist;;;;;;;;;;;;;x;
cathar;Cathar;;;;;;;;;;;;;x;
druze;Druze;;;;;;;;;;;;;x;
finnish_pagan;Suomenusko;;;;;;;;;;;;;x;
fraticelli;Fraticelli;;;;;;;;;;;;;x;
generic_pagan;Pagan;;;;;;;;;;;;;x;
hurufi;Hurufi;;;;;;;;;;;;;x;
ibadi;Ibadi;;;;;;;;;;;;;x;
iconoclast;Iconoclast;;;;;;;;;;;;;x;
lollard;Lollard;;;;;;;;;;;;;x;
miaphysite;Miaphysite;;;;;;;;;;;;;x;
monophysite;Monophysite;;;;;;;;;;;;;x;
monothelite;Monothelite;;;;;;;;;;;;;x;
nestorian;Nestorian;;;;;;;;;;;;;x;
norse_pagan;Norse;;;;;;;;;;;;;x;
tengri_pagan;Tengri;;;;;;;;;;;;;x;
waldensian;Waldensian;;;;;;;;;;;;;x;
yazidi;Yazidi;;;;;;;;;;;;;x;
zikri;Zikri;;;;;;;;;;;;;x;
zoroastrian;Zoroastrian;;;;;;;;;;;;;x;
