Revision	Log Message
---------	----------------
1		Initial commit
2		Initial parser
3		Automated build batch file
4		Copy data files on build
5		Automated Test and Build_and_Test batch files
6		Add initial province mapping with Iceland mapped
7		Output a minimal yet functional EU3 save
8		Add configuration file and relating code
9		ROTW provinces get ownership from EU3 install
10		England Ireland Scotland Wales mapped
11		CK2 cultures mapped, except for german and italian
12		Gunther's province mappings
13		Fix bug uncovered by ROTW mappings
14		Middle East and Persia mapped
15		EU3 starts at the date CK2 ended
16		Merge
