centralize_hre_title;Centralize the Holy Roman Empire;Centraliser le Saint Empire Romain;Zentralisieren Sie das Heilige Römische Reich;Centralizacja Swiete Cesarstwo Rzymskie;Centralizar el Sacro Imperio Romano;Centralizzare il Sacro Romano Impero;Centralizálja a Szent Római Birodalom;Centralizovat Svatá ríše rímská;Centralizálja a Szent Római Birodalom;Centraliseren van het Heilige Roomse Rijk;Centralize o Sacro Império Romano;????????????? ????????? ??????? ???????;Keskitä Pyhän roomalaisen keisarikunnan;x
centralize_hre_desc;As the Holy Roman Emperor, we are prestigious enough to attempt to centralize the Empire under ourselves.;En tant que Saint-Empire romain, nous sommes assez prestigieux pour essayer de centraliser l'Empire sous nous-mêmes.;Als der heilige römische Kaiser sind wir prestigevoll genug, um zu versuchen, das Reich unter uns zu zentralisieren.;Jako cesarz rzymski, jestesmy na tyle prestizowa próba scentralizowania Imperium pod siebie.;Como el emperador romano santo, somos bastante prestigiosos para intentar centralizar el imperio debajo de nosotros mismos.;Come Sacro Romano Imperatore, siamo abbastanza prestigiosi per tentare di centralizzare l'Impero in noi stessi.;Mivel a római császár, mi tekintélyes elég próbálja központosítani a Birodalom magunkat.;Vzhledem k tomu, císare Svaté ríše rímské, jsme dost prestižní pokusit se centralizovat ríši pod sebe.;Mivel a római császár, mi tekintélyes elég próbálja központosítani a Birodalom magunkat.;Zoals het Heilige Roomse keizer, we zijn prestigieus genoeg om te proberen om het rijk te centraliseren onder onszelf.;Como o Santo Imperador Romano, somos suficientemente prestigiados para tentar centralizar o Império sob nós mesmos.;??? ????????? ????????? ??????? ???????, ?? ?????????? ?????????, ????? ?????????? ?????????????? ??????? ??? ????.;Koska keisari, olemme arvostettuja tarpeeksi yrittää keskittää Imperiumi alle itse.;x
EVTNAME250001;Centralization of the HRE;Centralisation du Saint Empire romain germanique;Zentralisierung des Heiligen Römischen Reiches;Centralizacja Swietego Cesarstwa Rzymskiego;Centralización del Sacro Imperio Romano;La centralizzazione del Sacro Romano Impero;Központosítása Szent Római Birodalom;Centralizace Svaté ríše rímské;Központosítása Szent Római Birodalom;Centralisatie van de Heilige Roomse Rijk;Centralização do Sacro Império Romano;????????????? ????????? ??????? ???????;Keskittäminen Pyhällä roomalaisen keisarikunnan;x
EVTDESC250001;We will join the Thousand Years Reich!;Nous nous joindrons au Reich des Mille Ans!;Wir werden dem Tausendjährigen Reich beitreten!;Bedziemy dolaczyc do tysiecy lat Rzeszy!;¡Nos uniremos al Reich de los Mil Años!;Ci uniremo al Reich di Mille Anni!;Mi fog csatlakozni a Thousand Years Reich!;Budeme se pripojí k tisíci lety Reich!;Mi fog csatlakozni a Thousand Years Reich!;We zullen toetreden tot de Thousand Years Reich!;Nós nos juntaremos ao Reich dos Mil Anos!;?? ????????????? ? ???????????? ????!;Me liittyy tuhatvuotinen Reich!;x
EVTOPTA250001;God save the Kaiser!;Dieu sauve le Kaiser!;Gott rette den Kaiser!;God save the Kaiser!;¡Dios salve al Kaiser!;Che Dio salvi il Kaiser!;Isten óvja a Kaiser!;Bože, chran Kaiser!;Isten óvja a Kaiser!;God save the Kaiser!;Deus salve o Kaiser!;??? ?????? ??????!;Jumala pelastaa Kaiser!;x
EVTNAME250002;Death of the HRE;Mort du Saint Empire Romain;Tod des Heiligen Römischen Reiches;Smierc Swietego Cesarstwa Rzymskiego;Muerte del Sacro Imperio Romano;La morte del Sacro Romano Impero;Halál a Szent Római Birodalom;Smrt Svaté ríše rímské;Halál a Szent Római Birodalom;De dood van het Heilige Roomse Rijk;Morte do Sacro Império Romano;?????? ????????? ??????? ???????;Death Pyhän Rooman valtakunnan;x
EVTDESC250002;The Empire was already a relic but the liberal revolutions made it meet its end!;L'Empire était déjà une relique, mais les révolutions libérales l'ont fait atteindre à sa fin!;Das Reich war schon ein Relikt, aber die liberalen Revolutionen brachten es seinem Ende entgegen!;Imperium juz przezytkiem ale liberalne rewolucje sprawily, ze spelniaja swój cel!;¡El Imperio ya era una reliquia, pero las revoluciones liberales lo hicieron llegar a su fin!;L'Impero era già una reliquia, ma le rivoluzioni liberali ha fatto incontrare la sua fine!;A Birodalom már egy ereklye, hanem a liberális fordulat tette eleget a vége!;Ríše byla již prežitkem, ale liberální revoluce delal to splnit svuj konec!;A Birodalom már egy ereklye, hanem a liberális fordulat tette eleget a vége!;Het Empire was al een relikwie, maar de liberale revoluties maakte het voldoen aan zijn einde!;O Império já era uma relíquia, mas as revoluções liberais fizeram com que ele atingisse seu fim!;??????? ???? ??? ??????????, ?? ??????????? ????????? ??????? ??? ????????? ???? ?????!;Imperiumi oli jo jäänne mutta vapaiden kierrokset se täyttää sen pää!;x
EVTOPTA250002;A dream gone to waste...;Un rêve perdu ...;Ein Traum verschwendete ...;Sen poszedl na marne ...;Un sueño perdido ...;Un sogno andato sprecato ...;Egy álom ment veszendobe ...;Sen šel do odpadu ...;Egy álom ment veszendobe ...;Een droom gegaan om te verspillen ...;Um sonho perdido ...;??? ?????? ????? ...;Unelma mennyt hukkaan ...;x
EVTNAME250003;Centralization of the HRE;Centralisation du Saint Empire romain germanique;Zentralisierung des Heiligen Römischen Reiches;Centralizacja Swietego Cesarstwa Rzymskiego;Centralización del Sacro Imperio Romano;La centralizzazione del Sacro Romano Impero;Központosítása Szent Római Birodalom;Centralizace Svaté ríše rímské;Központosítása Szent Római Birodalom;Centralisatie van de Heilige Roomse Rijk;Centralização do Sacro Império Romano;????????????? ????????? ??????? ???????;Keskittäminen Pyhällä roomalainen keisarikunnan;x
EVTDESC250003;Shall we join the Thousand Years Reich?;Devrions-nous nous joindre au Reich des Mille Ans?;Sollen wir dem Tausendjährigen Reich beitreten?;Powinnismy przylaczyc sie do tysiecy lat Rzeszy?;¿Nos uniremos al Reich de los Mil Años?;Dobbiamo unirci al Reich di Mille Anni?;Csatlakozunk a Thousand Years Reich?;Musí se napojíme na tisíc let Reich?;Csatlakozunk a Thousand Years Reich?;Zullen we lid worden van de Thousand Years Reich?;Vamos nos unir ao Reich dos Mil Anos?;?????? ?? ?? ?????????????? ? ???????????? ?????;Onko meidän liittyä tuhatvuotinen valtakunnan?;x
EVTOPTA250003;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser ¡Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte UNSER Kaiser!;Gott erhalte unser Kaiser!;x
