AAA;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;
AAA_ADJ;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;
AAC;Aachen;Aix-la-Chapelle;Aachen;Aachen;Aquisgrán;Aquisgrana;Aachen;Aachen;Aachen;Aachen;Aachen;?????;Aachen;x;;
AAC_ADJ;Aachener;Aachener;Aachener;Aachener;Aquisgranés;Aquisgranese;aachener;Aachener;aachener;Aachener;Aachener;???????;Aachener;x;;
ABB;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;???????;Dongola;x;;
ABB_ADJ;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Dongolano;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;????????;Dongolan;x;;
ABE;Abenaki;Abenaki;Abenaki;Abenakowie;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;???????;Abenaki;x;;
ABE_ADJ;Abenaki;Abenaki;Abenaki;Abenakowie;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;???????;Abenaki;x;;
ACH;Achaea;Achaïe;Achaea;Achaja;Acaya;Acaia;Achaea;Achaea;Achaea;Achaea;Acaia;?????;Achaea;x;;
ACH_ADJ;Achaean;Achéen;Achaean;Achajskim;Acayan;Acheo;Achaean;Achaean;Achaean;Achaean;Aqueo;????????;Achaean;x;;
ADA;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;????;Adal;x;;
ADA_ADJ;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;????;Adal;x;;
AFA;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;????;Afar;x;;
AFA_ADJ;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;????;Afar;x;;
AJU;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;???????;Ajuuraan;x;;
AJU_ADJ;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajúuran;???????;Ajuuraan;x;;
AKH;Astrakhan;Astrakan;Astrachan;Karakul;Astracán;Astracan;Asztrahán;Astrachan;Asztrahán;Astrakan;Astracã;????????;astrakaani;x;;
AKH_ADJ;Astrakhani;Astrakhani;Astrachani;Karakuli;Astracáni;Astracano;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Astrakhani;?????????;Astrakhani;x;;
AKK;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;Ak Koyunlu;?? ??????;ak Koyunlu;x;;
AKK_ADJ;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;Ak Koyunlu;?? ??????;ak Koyunlu;x;;
ALE;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;????ç??;Alençon;x;;
ALE_ADJ;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;????ç??;Alençon;x;;
ALH;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;?????;Haasa;x;;
ALH_ADJ;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;?????;Haasa;x;;
ALO;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;??????;Alwa tilan;x;;
ALO_ADJ;Alodian;Alodien;Alodian;Alodian;Alodiano;Alodiano;Alodian;Alodian;Alodian;Alodian;Alodiano;???????;Alodian;x;;
ALS;Alsace;Alsace;Elsass;Alzacja;Alsacia;Alsazia;Elzász;Alsace;Elzász;Elzas;Alsácia;??????;Elsass;x;;
ALS_ADJ;Alsatian;Alsacien;Elsässisch;Alzacjan;alsaciano;Alsaziano;elzászi;vlcák;elzászi;Elzasser;Alsaciano;??????????;saksanpaimenkoira;x;;
AMA;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;?????;Amago;x;;
AMA_ADJ;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;Amago;?????;Amago;x;;
AMD;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;??????????;Ahmadnagar;x;;
AMD_ADJ;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;Ahmadnagar;??????????;Ahmadnagar;x;;
AMG;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;????????;Armagnac;x;;
AMG_ADJ;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;Armagnac;????????;Armagnac;x;;
AND;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;????????;Andhra;x;;
AND_ADJ;Andhran;Andhrien;Andhrich;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;Andhra;????????;Andhra;x;;
ANN;Annam;Annam;Annam;Annam;Annam;Annam;Annam;annam;Annam;annam;Annam;?????;Annam;x;;
ANN_ADJ;Annam;Annam;Annam;Annam;Annam;Annam;Annam;annam;Annam;annam;Annam;?????;Annam;x;;
ANS;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;Ansbach;??????;Ansbach;x;;
ANS_ADJ;Ansbachian;Ansbachien;Ansbachian;Ansbachian;Ansbachiano;Ansbachiano;Ansbachian;Ansbachian;Ansbachian;Ansbachian;Ansbachiano;?????????;Ansbachian;x;;
ANT;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;????????;Antemoro;x;;
ANT_ADJ;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;Antemoro;????????;Antemoro;x;;
ANU;Ainu;Ainu;Ainu;Ainu;Ainu;Ainu;ainu;Ainu;ainu;ainu;Ainu;????;Ainu;x;;
ANU_ADJ;Ainu;Ainu;Ainu;Ainu;Ainu;Ainu;ainu;Ainu;ainu;ainu;Ainu;????;Ainu;x;;
APA;Apache;Apache;Apache;Apache;apache;Apache;Apache;Apache;Apache;Apache;Apache;????;Apache;x;;
APA_ADJ;Apache;Apache;Apache;Apache;apache;Apache;Apache;Apache;Apache;Apache;Apache;????;Apache;x;;
AQU;Aquileia;Aquileia;Aquileia;Akwilei;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;Aquileia;???????;Aquileia;x;;
AQU_ADJ;Aquileian;Aquile;Aquileian;Akwilei;Aquileano;aquileiese;Aquileian;Aquileian;Aquileian;Aquileian;Aquileano;???????????;Aquileian;x;;
ARD;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;Ardalan;???????;Ardalan;x;;
ARD_ADJ;Ardalani;Ardalani;Ardalani;Ardalani;Ardalani;Ardalano;Ardalani;Ardalani;Ardalani;Ardalani;Ardalani;????????;Ardalani;x;;
ARK;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;??????;Arakan;x;;
ARK_ADJ;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;Arakan;??????;Arakan;x;;
ARO;Aragon;Aragon;Aragon;Aragon;Aragón;Aragona;Aragon;Aragon;Aragon;Aragon;Aragão;??????;Aragon;x;;
ARO_ADJ;Aragonian;Aragonais;Aragonisch;Aragonskie;Aragonés;aragonese;Aragóniaiak;Aragonian;Aragóniaiak;Aragonian;Aragonês;?????????;Aragonian;x;;
ARP;Arapaho;Arapaho;Arapaho;Arapaho;Arapaho;Arapaho;arapaho;Arapaho;arapaho;Arapaho;Arapaho;???????;Arapaho;x;;
ARP_ADJ;Arapaho;Arapaho;Arapaho;Arapaho;Arapaho;Arapaho;arapaho;Arapaho;arapaho;Arapaho;Arapaho;???????;Arapaho;x;;
ARW;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;??????;Arawak;x;;
ARW_ADJ;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;Arawak;??????;Arawak;x;;
ASA;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;???????;Asakura;x;;
ASA_ADJ;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;Asakura;???????;Asakura;x;;
ASH;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;??????;Ashanti;x;;
ASH_ADJ;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;Ashanti;??????;Ashanti;x;;
ASI;Assiniboine;Assiniboine;Assiniboin;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;???????????;Assiniboine;x;;
ASI_ADJ;Assiniboine;Assiniboine;Assiniboin;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;Assiniboine;???????????;Assiniboine;x;;
ASS;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;Assam;?????;Assam;x;;
ASS_ADJ;Assamese;Assamais;Assamesisch;Asamski;Assamés;assamese;asszámi;ásámština;asszámi;Assamees;Assamês;?????????;assami;x;;
ATH;Athens;Athènes;Athen;Ateny;Atenas;Atene;Athén;Athény;Athén;Athene;Atenas;?????;Ateena;x;;
ATH_ADJ;Athenian;Athénien;Athener;Atenski;ateniense;ateniese;athéni;aténská;athéni;Atheens;ateniense;????????;ateenalainen;x;;
AUG;Augsburg;Augsbourg;Augsburg;Augsburg;Augsburgo;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;Augsburg;????????;Augsburg;x;;
AUG_ADJ;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;Augsburger;??????????;Augsburger;x;;
AUV;Auvergne;Auvergne;Auvergne;Owernia;Auvernia;Alvernia;Auvergne;Auvergne;Auvergne;Auvergne;Auvergne;??????;Auvergne;x;;
