greek_830_title;The City of Adrianopolis;La ville d'Adrianopolis;Die Stadt von Adrianopolis;Miasto Adrianopolis;La Ciudad de Adrianópolis;La città di Adrianopoli;A City of Adrianopolis;Mesto Adrianopolis;A City of Adrianopolis;De stad Adrianopolis;A Cidade de Adrianópolis;????? ????????????;Kaupunki Adrianopolis;x
greek_830_desc;Adrianopolis is now in the hands of the heritage of Augustus. Let's remind the local administration about it;Adrianopolis est maintenant entre les mains de l'héritage d'Auguste. Rappelons l'administration locale;Adrianopolis ist jetzt in den Händen des Erbes des Augustus. Lassen Sie uns die lokale Verwaltung daran erinnern;Adrianopolis jest teraz w rekach dziedzictwa Augusta. Przypomnijmy lokalna administracje o nim;Adrianópolis está ahora en manos de la herencia de Augusto. Recordemos a la administración local sobre ello;Adrianopoli è ora nelle mani del patrimonio di Augusto. Ricordiamo l'amministrazione locale su di esso;Adrianopolis van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Adrianopolis je nyní v rukou dedictví Augusta. Pripomenme místní správy o tom;Adrianopolis van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Adrianopolis is nu in handen van het erfgoed van Augustus. Laten we herinneren aan het lokale bestuur over;Adrianópolis está agora nas mãos da herança de Augusto. Vamos lembrar a administração local sobre isso;???????????? ?????? ????????? ? ????? ???????? ????????. ???????? ??????? ????????????? ?? ????;Adrianopolis on nyt käsissä perintöä Augustus. Oletetaan muistuttaa paikallishallinto siitä;x
turk_830_title;The Büyüksehir of Dedeagatch;Le Büyüksehir de Dedeagatch;Der Büyüksehir von Dedeagatch;Buyuksehir z Dedeagatch;El Büyüksehir de Dedeagatch;Il Büyüksehir di Dedeagatch;A Buyuksehir a Dedeagatch;Büyüksehir of Dedeagatch;A Buyuksehir a Dedeagatch;De Buyuksehir van Dedeagatch;O Büyüksehir de Dedeagatch;?????s???? ?? ?????????;Buyuksehir of Dedeagatch;x
turk_830_desc;The Great Seljuks and the Sultan of the Ottomans are the rulers of Dedeagatch, but the local administration forgot this;Les Grands Seldjoukides et le Sultan des Ottomans sont les dirigeants de Dedeagatch, mais l'administration locale a oublié cela;Die großen Seljuks und der Sultan der Osmanen sind die Herrscher von Dedeagatch, aber die örtliche Verwaltung hat das vergessen;Wielkie Seldzukowie i Sultan Turków sa wladcami Dedeagatch, ale lokalna administracja zapomnial tego;Los grandes seljúcidas y el sultán de los otomanos son los gobernantes de Dedeagatch, pero la administración local olvidó esto;Le Grandi Selgiuchidi e il Sultano degli Ottomani sono i governanti di Dedeagatch, ma l'amministrazione locale dimenticato questo;A Nagy Seljuks és a szultán a törökök vannak az uralkodók Dedeagatch, de a helyi közigazgatás felejtette;The Great Seljuks a Sultan pohovek jsou pravítka Dedeagatch, ale místní správa zapomnel toto;A Nagy Seljuks és a szultán a törökök vannak az uralkodók Dedeagatch, de a helyi közigazgatás felejtette;The Great Seljuks en de Sultan van de Ottomanen zijn de heersers van Dedeagatch, maar het lokale bestuur vergat deze;Os grandes Seljuks eo sultão dos otomanos são os governantes de Dedeagatch, mas a administração local esqueceu este;??????? ????????? ? ?????? ????????? ??????? ???????? ????????? ?????????, ?? ??????? ????????????? ?????? ???;Suuri Seljuks ja sulttaanin ottomaanien ovat hallitsijat Dedeagatch, mutta paikallinen hallinto unohti tämän;x
greek_thrace_title;The Theme of Thrace;Le Thème de la Thrace;Das Thema von Thrace;Tematem Tracji;El Tema de Tracia;Il tema della Tracia;A téma Trákia;Téma Thrákie;A téma Trákia;Het thema van Thracië;O Tema da Trácia;???? ??????;Teema Traakian;x
greek_thrace_desc;The Thrace is now in the hands of the heritage of Augustus. Let's remind the local administration about it;La Thrace est maintenant entre les mains de l'héritage d'Auguste. Rappelons l'administration locale;Das Thrakien ist jetzt in den Händen des Erbes des Augustus. Lassen Sie uns die lokale Verwaltung daran erinnern;Tracja jest teraz w rekach dziedzictwa Augusta. Przypomnijmy lokalna administracje o nim;La Tracia está ahora en manos de la herencia de Augusto. Recordemos a la administración local sobre ello;La Tracia è ora nelle mani del patrimonio di Augusto. Ricordiamo l'amministrazione locale su di esso;A Trákia van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Thrákie je nyní v rukou dedictví Augusta. Pripomenme místní správy o tom;A Trákia van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;De Thracië is nu in handen van het erfgoed van Augustus. Laten we herinneren aan het lokale bestuur over;A Trácia está agora nas mãos da herança de Augusto. Vamos lembrar a administração local sobre isso;?????? ?????? ????????? ? ????? ???????? ????????. ???????? ??????? ????????????? ?? ????;Traakian on nyt käsissä perintöä Augustus. Oletetaan muistuttaa paikallishallinto siitä;x
turk_thrace_title;The Iller of Thrace;L'Iller de Thrace;Das Iller von Thrakien;Iller Tracji;El Iller de Tracia;Iller della Tracia;Iller Trákia;Iller z Thrákie;Iller Trákia;De Iller van Thracië;O Iller de Trácia;????? ??????;Iller Traakian;x
turk_thrace_desc;The Great Seljuks and the Sultan of the Ottomans are the rulers of the Thrace but the local administration forgot this;Les grands Seldjoukides et le sultan des Ottomans sont les chefs de la Thrace, mais l'administration locale a oublié ce;Die Großen Seljuks und der Sultan der Osmanen sind die Herrscher der Thrakien, aber die örtliche Verwaltung hat das vergessen;Wielkie Seldzukowie i Sultan Turków sa przelozeni Tracji, ale lokalna administracja zapomnial tego;Los grandes seljúcidas y el sultán de los otomanos son los gobernantes de la Tracia, pero la administración local olvidó esto;Le Grandi Selgiuchidi e il Sultano degli Ottomani sono i governanti della Tracia, ma l'amministrazione locale dimenticato questo;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Trákia de a helyi közigazgatás felejtette;The Great Seljuks a Sultan pohovek jsou pravítka Thrákie ale místní správa zapomnel toto;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Trákia de a helyi közigazgatás felejtette;The Great Seljuks en de Sultan van de Ottomanen zijn de heersers van de Thracië, maar de lokale overheid vergat deze;Os Grandes Seljúcidas eo Sultão dos Otomanos são os governantes da Trácia, mas a administração local esqueceu este;??????? ????????? ? ?????? ????????? ??????? ???????? ????????? ??????, ?? ??????? ????????????? ?????? ???;Suuri Seljuks ja sulttaanin ottomaanien ovat hallitsijat Traakian mutta paikallinen hallinto unohti tämän;x
greek_hudav_title;The Theme of Prusa;Le thème de Prusa;Das Thema von Prusa;Tematem Prusa;El tema de Prusa;Il tema di Prusa;A téma a Prusa;Téma Prušovi;A téma a Prusa;Het thema van Prusa;O Tema do Prusa;???? ?????;Teema Prusa;x
greek_hudav_desc;The Prusa is now in the hands of the heritage of Augustus. Let's remind the local administration about it;Le Prusa est maintenant entre les mains de l'héritage d'Auguste. Rappelons l'administration locale;Die Prusa ist jetzt in den Händen des Erbes des Augustus. Lassen Sie uns die lokale Verwaltung daran erinnern;Prusa jest teraz w rekach dziedzictwa Augusta. Przypomnijmy lokalna administracje o nim;La Prusa está ahora en manos de la herencia de Augusto. Recordemos a la administración local sobre ello;Il Prusa è ora nelle mani del patrimonio di Augusto. Ricordiamo l'amministrazione locale su di esso;A Prusa van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Prusa je nyní v rukou dedictví Augusta. Pripomenme místní správy o tom;A Prusa van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;De Prusa is nu in handen van het erfgoed van Augustus. Laten we herinneren aan het lokale bestuur over;O Prusa está agora nas mãos da herança de Augustus. Vamos lembrar a administração local sobre isso;????? ?????? ????????? ? ????? ???????? ????????. ???????? ??????? ????????????? ?? ????;Prusa on nyt käsissä perintöä Augustus. Oletetaan muistuttaa paikallishallinto siitä;x
turk_hudav_title;The Iller of Hudavendigar;L'Iller de Hudavendigar;Das Iller von Hudavendigar;Iller z Hudavendigar;El Iller de Hudavendigar;Iller di Hudavendigar;Iller a Hudavendigar;Iller of Hudavendigar;Iller a Hudavendigar;De Iller van Hudavendigar;O Iller de Hudavendigar;????? ?? ????????????;Iller of Hudavendigar;x
