#Vic2culturegroup;portraitlocation in gfx/leaders/ communist;democracy;fascist
germanic;GER/Portrait_Germany_Generic_1.dds;GER/Portrait_Germany_Generic_2.dds;GER/Portrait_Germany_Generic_3.dds
beneluxian;Europe/Portrait_Europe_Generic_1.dds;Europe/Portrait_Europe_Generic_2.dds;Europe/Portrait_Europe_Generic_3.dds
pan_swiss;GER/Portrait_Germany_Generic_1.dds/SWI/Portrait_Switzerland_Federal_council.dds;GER/Portrait_Germany_Generic_3.dds
scandinavian;Europe/Portrait_Europe_Generic_1.dds;Europe/Portrait_Europe_Generic_2.dds;Europe/Portrait_Europe_Generic_3.dds
british;ENG/Portrait_Britain_Generic_1.dds;ENG/Portrait_Britain_Generic_2.dds;ENG/Portrait_Britain_Generic_3.dds
italian;ITA/Portrait_Italy_Generic_1.dds;ITA/Portrait_Italy_Generic_2.dds;ITA/Portrait_Italy_Generic_3.dds
iberian;South America/Portrait_South_America_Generic_1.dds;South America/Portrait_South_America_Generic_2.dds;South America/Portrait_South_America_Generic_3.dds
french;FRA/Portrait_France_Generic_1.dds;FRA/Portrait_France_Generic_2.dds;FRA/Portrait_France_Generic_3.dds
south_slavic;SOV/Portrait_Soviet_Generic_1.dds;SOV/Portrait_Soviet_Generic_2.dds;SOV/Portrait_Soviet_Generic_3.dds
pan_romanian;Europe/Portrait_Europe_Generic_1.dds;Europe/Portrait_Europe_Generic_2.dds;Europe/Portrait_Europe_Generic_3.dds
hungarian_culture_group;Europe/Portrait_Europe_Generic_1.dds;Europe/Portrait_Europe_Generic_2.dds;Europe/Portrait_Europe_Generic_3.dds
polish_culture_group;SOV/Portrait_Soviet_Generic_1.dds;SOV/Portrait_Soviet_Generic_2.dds;SOV/Portrait_Soviet_Generic_3.dds
czecho_slovak_culture_group;SOV/Portrait_Soviet_Generic_1.dds;SOV/Portrait_Soviet_Generic_2.dds;SOV/Portrait_Soviet_Generic_3.dds
east_slavic;SOV/Portrait_Soviet_Generic_1.dds;SOV/Portrait_Soviet_Generic_2.dds;SOV/Portrait_Soviet_Generic_3.dds
baltic;SOV/Portrait_Soviet_Generic_1.dds;SOV/Portrait_Soviet_Generic_2.dds;SOV/Portrait_Soviet_Generic_3.dds
levantine;ITA/Portrait_Italy_Generic_1.dds;ITA/Portrait_Italy_Generic_2.dds;ITA/Portrait_Italy_Generic_3.dds
turko_semitic;Europe/Portrait_Europe_Generic_1.dds;Europe/Portrait_Europe_Generic_2.dds;Europe/Portrait_Europe_Generic_3.dds
arab;SAU/Portrait_Arabia_Generic_1.dds;SAU/Portrait_Arabia_Generic_2.dds;SAU/Portrait_Arabia_Generic_3.dds
iranian_turanian;SAU/Portrait_Arabia_Generic_1.dds;SAU/Portrait_Arabia_Generic_2.dds;SAU/Portrait_Arabia_Generic_3.dds
central_asian;Asia/Portrait_Asia_Generic_1.dds;Asia/Portrait_Asia_Generic_2.dds;Asia/Portrait_Asia_Generic_3.dds
south_asian;Europe/Portrait_Europe_Generic_1.dds;Europe/Portrait_Europe_Generic_2.dds;Europe/Portrait_Europe_Generic_3.dds
southeast_asian;Asia/Portrait_Asia_Generic_1.dds;Asia/Portrait_Asia_Generic_2.dds;Asia/Portrait_Asia_Generic_3.dds
east_asian;Asia/Portrait_Asia_Generic_1.dds;Asia/Portrait_Asia_Generic_2.dds;Asia/Portrait_Asia_Generic_3.dds
oceanic;South America/Portrait_South_America_Generic_1.dds;South America/Portrait_South_America_Generic_2.dds;South America/Portrait_South_America_Generic_3.dds
native_american;South America/Portrait_South_America_Generic_1.dds;South America/Portrait_South_America_Generic_2.dds;South America/Portrait_South_America_Generic_3.dds
american_cultures;USA/Portrait_USA_Generic_1.dds;USA/Portrait_USA_Generic_2.dds;USA/Portrait_USA_Generic_3.dds
neo_european_cultures;Europe/Portrait_Europe_Generic_1.dds;Europe/Portrait_Europe_Generic_2.dds;Europe/Portrait_Europe_Generic_3.dds
latin_american_cultures;South America/Portrait_South_America_Generic_1.dds;South America/Portrait_South_America_Generic_2.dds;South America/Portrait_South_America_Generic_3.dds
african_diaspora_cultures;Africa/Portrait_Africa_Generic_land_1.dds;Africa/Portrait_Africa_Generic_land_2.dds;Africa/Portrait_Africa_Generic_land_3.dds
west_african;Africa/Portrait_Africa_Generic_land_1.dds;Africa/Portrait_Africa_Generic_land_2.dds;Africa/Portrait_Africa_Generic_land_3.dds
central_african;Africa/Portrait_Africa_Generic_land_1.dds;Africa/Portrait_Africa_Generic_land_2.dds;Africa/Portrait_Africa_Generic_land_3.dds
east_african;Africa/Portrait_Africa_Generic_land_1.dds;Africa/Portrait_Africa_Generic_land_2.dds;Africa/Portrait_Africa_Generic_land_3.dds
southern_african;Africa/Portrait_Africa_Generic_land_1.dds;Africa/Portrait_Africa_Generic_land_2.dds;Africa/Portrait_Africa_Generic_land_3.dds
bears;POL/Portrait_POL_Voytek.dds;POL/Portrait_POL_Voytek.dds;POL/Portrait_POL_Voytek.dds
